Date,HA,NewCases,NewDeaths,NewRecoveries,BC_CDC_Reported_TotalCases,BC_CDC_Reported_TotalDeaths,BC_CDC_Reported_TotalRecoveries,Week,ActiveCases,BC_CDC_ReportedActiveCases,ThursdayReports,FridayReports,Notes
2020-10-08,Fraser,462,5,336,5174,113,4134,28,927,904,1,0,
2020-10-08,Interior,22,0,16,557,2,532,28,23,23,1,0,
2020-10-08,Vancouver Island,14,0,5,223,6,204,28,13,13,1,0,
2020-10-08,Northern,13,1,31,330,3,311,28,16,16,1,0,
2020-10-08,Vancouver Coastal,333,4,314,3693,121,3136,28,436,431,1,0,
2020-10-15,Fraser,626,2,486,5800,115,4620,29,1065,1036,1,0,
2020-10-15,Interior,30,0,27,587,2,559,29,26,26,1,0,
2020-10-15,Vancouver Island,16,0,15,239,6,219,29,14,14,1,0,
2020-10-15,Northern,15,0,20,345,3,331,29,11,11,1,0,
2020-10-15,Vancouver Coastal,281,3,310,3974,124,3446,29,404,401,1,0,
2020-10-23,Fraser,565,2,510,6365,117,5130,30,1118,1081,0,1,
2020-10-23,Interior,39,0,26,626,2,585,30,39,39,0,1,
2020-10-23,Vancouver Island,7,0,9,246,6,228,30,12,12,0,1,
2020-10-23,Northern,19,0,18,364,3,349,30,12,12,0,1,
2020-10-23,Vancouver Coastal,212,1,281,4186,125,3727,30,334,331,0,1,
2020-10-30,Fraser,1144,2,962,7509,119,6092,31,1298,1247,0,1,
2020-10-30,Interior,91,0,56,717,2,641,31,74,74,0,1,
2020-10-30,Vancouver Island,7,0,12,253,6,240,31,7,7,0,1,
2020-10-30,Northern,32,0,25,396,3,374,31,19,19,0,1,
2020-10-30,Vancouver Coastal,310,3,280,4496,128,4007,31,361,358,0,1,
2020-11-06,Fraser,,,,,119,,32,,,0,1,Surveillance Reports stop reporting raw data tables at this time
2020-11-06,Interior,,,,,2,,32,,,0,1,Surveillance Reports stop reporting raw data tables at this time
2020-11-06,Vancouver Island,,,,,6,,32,,,0,1,Surveillance Reports stop reporting raw data tables at this time
2020-11-06,Northern,,,,,3,,32,,,0,1,Surveillance Reports stop reporting raw data tables at this time
2020-11-06,Vancouver Coastal,,,,,128,,32,,,0,1,Surveillance Reports stop reporting raw data tables at this time
